
*************************************************
				Round 1
*************************************************
-------------------------------------------------
Process ID | Arrival Time | Run Time | Priority |
-------------------------------------------------
         A |          0.0 |      4.3 |        4 |
         B |          0.0 |      8.2 |        2 |
         C |          1.0 |      6.4 |        2 |
         D |          2.0 |      0.5 |        3 |
         E |          3.0 |      3.2 |        3 |
         F |          4.0 |      6.2 |        2 |
         G |          9.0 |      1.6 |        4 |
         H |         10.0 |      1.3 |        3 |
         I |         11.0 |      5.1 |        3 |
         J |         11.0 |      1.7 |        4 |
         K |         11.0 |      2.0 |        4 |
         L |         13.0 |      0.1 |        4 |
         M |         18.0 |      2.9 |        3 |
         N |         18.0 |      3.7 |        3 |
         O |         20.0 |      6.5 |        1 |
         P |         20.0 |      2.1 |        1 |
         Q |         24.0 |      3.1 |        2 |
         R |         33.0 |      5.2 |        1 |
         S |         38.0 |      6.6 |        3 |
         T |         42.0 |      0.9 |        2 |
         U |         45.0 |      2.1 |        3 |
         V |         47.0 |      6.8 |        1 |
         W |         47.0 |      3.4 |        1 |
         X |         49.0 |      9.0 |        3 |
         Y |         49.0 |      7.6 |        3 |
         Z |         50.0 |      6.1 |        1 |
         a |         51.0 |      0.7 |        1 |
         b |         52.0 |      6.1 |        1 |
         c |         59.0 |      8.5 |        1 |
         d |         59.0 |      8.6 |        3 |
         e |         60.0 |      7.0 |        1 |
         f |         64.0 |      4.6 |        4 |
         g |         67.0 |      8.8 |        2 |
         h |         78.0 |      7.3 |        1 |
         i |         78.0 |      0.5 |        2 |
         j |         79.0 |      2.8 |        2 |
         k |         79.0 |      2.6 |        3 |
         l |         80.0 |      5.4 |        4 |
         m |         81.0 |      1.1 |        1 |
         n |         81.0 |      8.5 |        3 |
         o |         84.0 |      3.2 |        4 |
         p |         86.0 |      1.4 |        2 |
         q |         86.0 |      3.4 |        3 |
         r |         87.0 |      9.8 |        1 |
         s |         87.0 |      0.1 |        3 |
         t |         88.0 |      8.3 |        4 |
         u |         90.0 |      7.1 |        3 |
         v |         91.0 |      4.1 |        3 |
         w |         93.0 |      1.3 |        3 |
         x |         95.0 |      4.9 |        3 |
         y |         96.0 |      0.8 |        4 |
         z |         99.0 |      2.8 |        1 |
--------------------------------------------------
Total No. of Processes : 52
--------------------------------------------------

*************************************************
				Round 2
*************************************************
-------------------------------------------------
Process ID | Arrival Time | Run Time | Priority |
-------------------------------------------------
         A |          0.0 |      4.3 |        4 |
         B |          0.0 |      8.2 |        2 |
         C |          1.0 |      6.4 |        2 |
         D |          2.0 |      0.5 |        3 |
         E |          3.0 |      3.2 |        3 |
         F |          4.0 |      6.2 |        2 |
         G |          9.0 |      1.6 |        4 |
         H |         10.0 |      1.3 |        3 |
         I |         11.0 |      5.1 |        3 |
         J |         11.0 |      1.7 |        4 |
         K |         11.0 |      2.0 |        4 |
         L |         13.0 |      0.1 |        4 |
         M |         18.0 |      2.9 |        3 |
         N |         18.0 |      3.7 |        3 |
         O |         20.0 |      6.5 |        1 |
         P |         20.0 |      2.1 |        1 |
         Q |         24.0 |      3.1 |        2 |
         R |         33.0 |      5.2 |        1 |
         S |         38.0 |      6.6 |        3 |
         T |         42.0 |      0.9 |        2 |
         U |         45.0 |      2.1 |        3 |
         V |         47.0 |      6.8 |        1 |
         W |         47.0 |      3.4 |        1 |
         X |         49.0 |      9.0 |        3 |
         Y |         49.0 |      7.6 |        3 |
         Z |         50.0 |      6.1 |        1 |
         a |         51.0 |      0.7 |        1 |
         b |         52.0 |      6.1 |        1 |
         c |         59.0 |      8.5 |        1 |
         d |         59.0 |      8.6 |        3 |
         e |         60.0 |      7.0 |        1 |
         f |         64.0 |      4.6 |        4 |
         g |         67.0 |      8.8 |        2 |
         h |         78.0 |      7.3 |        1 |
         i |         78.0 |      0.5 |        2 |
         j |         79.0 |      2.8 |        2 |
         k |         79.0 |      2.6 |        3 |
         l |         80.0 |      5.4 |        4 |
         m |         81.0 |      1.1 |        1 |
         n |         81.0 |      8.5 |        3 |
         o |         84.0 |      3.2 |        4 |
         p |         86.0 |      1.4 |        2 |
         q |         86.0 |      3.4 |        3 |
         r |         87.0 |      9.8 |        1 |
         s |         87.0 |      0.1 |        3 |
         t |         88.0 |      8.3 |        4 |
         u |         90.0 |      7.1 |        3 |
         v |         91.0 |      4.1 |        3 |
         w |         93.0 |      1.3 |        3 |
         x |         95.0 |      4.9 |        3 |
         y |         96.0 |      0.8 |        4 |
         z |         99.0 |      2.8 |        1 |
--------------------------------------------------
Total No. of Processes : 52
--------------------------------------------------

*************************************************
				Round 3
*************************************************
-------------------------------------------------
Process ID | Arrival Time | Run Time | Priority |
-------------------------------------------------
         A |          0.0 |      4.3 |        4 |
         B |          0.0 |      8.2 |        2 |
         C |          1.0 |      6.4 |        2 |
         D |          2.0 |      0.5 |        3 |
         E |          3.0 |      3.2 |        3 |
         F |          4.0 |      6.2 |        2 |
         G |          9.0 |      1.6 |        4 |
         H |         10.0 |      1.3 |        3 |
         I |         11.0 |      5.1 |        3 |
         J |         11.0 |      1.7 |        4 |
         K |         11.0 |      2.0 |        4 |
         L |         13.0 |      0.1 |        4 |
         M |         18.0 |      2.9 |        3 |
         N |         18.0 |      3.7 |        3 |
         O |         20.0 |      6.5 |        1 |
         P |         20.0 |      2.1 |        1 |
         Q |         24.0 |      3.1 |        2 |
         R |         33.0 |      5.2 |        1 |
         S |         38.0 |      6.6 |        3 |
         T |         42.0 |      0.9 |        2 |
         U |         45.0 |      2.1 |        3 |
         V |         47.0 |      6.8 |        1 |
         W |         47.0 |      3.4 |        1 |
         X |         49.0 |      9.0 |        3 |
         Y |         49.0 |      7.6 |        3 |
         Z |         50.0 |      6.1 |        1 |
         a |         51.0 |      0.7 |        1 |
         b |         52.0 |      6.1 |        1 |
         c |         59.0 |      8.5 |        1 |
         d |         59.0 |      8.6 |        3 |
         e |         60.0 |      7.0 |        1 |
         f |         64.0 |      4.6 |        4 |
         g |         67.0 |      8.8 |        2 |
         h |         78.0 |      7.3 |        1 |
         i |         78.0 |      0.5 |        2 |
         j |         79.0 |      2.8 |        2 |
         k |         79.0 |      2.6 |        3 |
         l |         80.0 |      5.4 |        4 |
         m |         81.0 |      1.1 |        1 |
         n |         81.0 |      8.5 |        3 |
         o |         84.0 |      3.2 |        4 |
         p |         86.0 |      1.4 |        2 |
         q |         86.0 |      3.4 |        3 |
         r |         87.0 |      9.8 |        1 |
         s |         87.0 |      0.1 |        3 |
         t |         88.0 |      8.3 |        4 |
         u |         90.0 |      7.1 |        3 |
         v |         91.0 |      4.1 |        3 |
         w |         93.0 |      1.3 |        3 |
         x |         95.0 |      4.9 |        3 |
         y |         96.0 |      0.8 |        4 |
         z |         99.0 |      2.8 |        1 |
--------------------------------------------------
Total No. of Processes : 52
--------------------------------------------------

*************************************************
				Round 4
*************************************************
-------------------------------------------------
Process ID | Arrival Time | Run Time | Priority |
-------------------------------------------------
         A |          0.0 |      4.3 |        4 |
         B |          0.0 |      8.2 |        2 |
         C |          1.0 |      6.4 |        2 |
         D |          2.0 |      0.5 |        3 |
         E |          3.0 |      3.2 |        3 |
         F |          4.0 |      6.2 |        2 |
         G |          9.0 |      1.6 |        4 |
         H |         10.0 |      1.3 |        3 |
         I |         11.0 |      5.1 |        3 |
         J |         11.0 |      1.7 |        4 |
         K |         11.0 |      2.0 |        4 |
         L |         13.0 |      0.1 |        4 |
         M |         18.0 |      2.9 |        3 |
         N |         18.0 |      3.7 |        3 |
         O |         20.0 |      6.5 |        1 |
         P |         20.0 |      2.1 |        1 |
         Q |         24.0 |      3.1 |        2 |
         R |         33.0 |      5.2 |        1 |
         S |         38.0 |      6.6 |        3 |
         T |         42.0 |      0.9 |        2 |
         U |         45.0 |      2.1 |        3 |
         V |         47.0 |      6.8 |        1 |
         W |         47.0 |      3.4 |        1 |
         X |         49.0 |      9.0 |        3 |
         Y |         49.0 |      7.6 |        3 |
         Z |         50.0 |      6.1 |        1 |
         a |         51.0 |      0.7 |        1 |
         b |         52.0 |      6.1 |        1 |
         c |         59.0 |      8.5 |        1 |
         d |         59.0 |      8.6 |        3 |
         e |         60.0 |      7.0 |        1 |
         f |         64.0 |      4.6 |        4 |
         g |         67.0 |      8.8 |        2 |
         h |         78.0 |      7.3 |        1 |
         i |         78.0 |      0.5 |        2 |
         j |         79.0 |      2.8 |        2 |
         k |         79.0 |      2.6 |        3 |
         l |         80.0 |      5.4 |        4 |
         m |         81.0 |      1.1 |        1 |
         n |         81.0 |      8.5 |        3 |
         o |         84.0 |      3.2 |        4 |
         p |         86.0 |      1.4 |        2 |
         q |         86.0 |      3.4 |        3 |
         r |         87.0 |      9.8 |        1 |
         s |         87.0 |      0.1 |        3 |
         t |         88.0 |      8.3 |        4 |
         u |         90.0 |      7.1 |        3 |
         v |         91.0 |      4.1 |        3 |
         w |         93.0 |      1.3 |        3 |
         x |         95.0 |      4.9 |        3 |
         y |         96.0 |      0.8 |        4 |
         z |         99.0 |      2.8 |        1 |
--------------------------------------------------
Total No. of Processes : 52
--------------------------------------------------

*************************************************
				Round 5
*************************************************
-------------------------------------------------
Process ID | Arrival Time | Run Time | Priority |
-------------------------------------------------
         A |          0.0 |      4.3 |        4 |
         B |          0.0 |      8.2 |        2 |
         C |          1.0 |      6.4 |        2 |
         D |          2.0 |      0.5 |        3 |
         E |          3.0 |      3.2 |        3 |
         F |          4.0 |      6.2 |        2 |
         G |          9.0 |      1.6 |        4 |
         H |         10.0 |      1.3 |        3 |
         I |         11.0 |      5.1 |        3 |
         J |         11.0 |      1.7 |        4 |
         K |         11.0 |      2.0 |        4 |
         L |         13.0 |      0.1 |        4 |
         M |         18.0 |      2.9 |        3 |
         N |         18.0 |      3.7 |        3 |
         O |         20.0 |      6.5 |        1 |
         P |         20.0 |      2.1 |        1 |
         Q |         24.0 |      3.1 |        2 |
         R |         33.0 |      5.2 |        1 |
         S |         38.0 |      6.6 |        3 |
         T |         42.0 |      0.9 |        2 |
         U |         45.0 |      2.1 |        3 |
         V |         47.0 |      6.8 |        1 |
         W |         47.0 |      3.4 |        1 |
         X |         49.0 |      9.0 |        3 |
         Y |         49.0 |      7.6 |        3 |
         Z |         50.0 |      6.1 |        1 |
         a |         51.0 |      0.7 |        1 |
         b |         52.0 |      6.1 |        1 |
         c |         59.0 |      8.5 |        1 |
         d |         59.0 |      8.6 |        3 |
         e |         60.0 |      7.0 |        1 |
         f |         64.0 |      4.6 |        4 |
         g |         67.0 |      8.8 |        2 |
         h |         78.0 |      7.3 |        1 |
         i |         78.0 |      0.5 |        2 |
         j |         79.0 |      2.8 |        2 |
         k |         79.0 |      2.6 |        3 |
         l |         80.0 |      5.4 |        4 |
         m |         81.0 |      1.1 |        1 |
         n |         81.0 |      8.5 |        3 |
         o |         84.0 |      3.2 |        4 |
         p |         86.0 |      1.4 |        2 |
         q |         86.0 |      3.4 |        3 |
         r |         87.0 |      9.8 |        1 |
         s |         87.0 |      0.1 |        3 |
         t |         88.0 |      8.3 |        4 |
         u |         90.0 |      7.1 |        3 |
         v |         91.0 |      4.1 |        3 |
         w |         93.0 |      1.3 |        3 |
         x |         95.0 |      4.9 |        3 |
         y |         96.0 |      0.8 |        4 |
         z |         99.0 |      2.8 |        1 |
--------------------------------------------------
Total No. of Processes : 52
--------------------------------------------------



_____________________________________________________________________________________________________________________________

The average of the 5 runs of every algorithm is as follows:

ALGORITHM: First-come First-served (FCFS) [non-preemptive]:
Average Response Time: 29.9
Average Wait Time: 30.5
Average Turn Around Time: 34.3
Average Throughput: 24.0

ALGORITHM: Round Robin (RR) [preemptive]:
Average Response Time: 23.8
Average Wait Time: 47.7
Average Turn Around Time: 51.8
Average Throughput: 28.0

ALGORITHM: Shortest Job First (SJF) [non-preemptive]:
Average Response Time: 5.8
Average Wait Time: 6.4
Average Turn Around Time: 9.0
Average Throughput: 32.0

ALGORITHM: Shortest Remaining Time (SRT) [preemptive]:
Average Response Time: 3.8
Average Wait Time: 12.9
Average Turn Around Time: 15.3
Average Throughput: 29.0

ALGORITHM: Highest Priority First (HPF) [preemptive]:
Average Response Time: 4.4
Average Wait Time: 8.3
Average Turn Around Time: 11.7
Average Throughput: 52.0

ALGORITHM: Highest Priority First (HPF) [non-preemptive]:
Average Response Time: 15.2
Average Wait Time: 15.6
Average Turn Around Time: 18.6
Average Throughput: 4.8
